|dates|Walker_Texas_UnitedStates.BLS_EmployedPopulation.data|Walker_Texas_UnitedStates.BLS_EmployedPopulation.missing|Walker_Texas_UnitedStates.BLS_UnemployedPopulation.data|Walker_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Walker_Texas_UnitedStates.BLS_UnemploymentRate.data|Walker_Texas_UnitedStates.BLS_UnemploymentRate.missing|Walker_Texas_UnitedStates.BLS_LaborForcePopulation.data|Walker_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-04|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-05|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-06|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-07|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-08|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-09|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-10|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-11|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-12|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-13|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-14|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-15|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-16|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-17|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-18|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-19|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-20|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-21|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-22|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-23|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-24|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-25|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-26|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-27|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-28|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-29|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-30|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2020-12-31|22488.0|0|1713.0|0|7.078219908268253|0|24201.0|0
0|2021-01-01|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-02|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-03|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-04|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-05|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-06|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-07|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-08|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-09|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-10|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-11|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-12|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-13|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-14|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-15|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-16|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-17|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-18|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-19|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-20|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-21|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-22|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-23|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-24|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-25|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-26|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-27|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-28|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-29|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-30|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-01-31|22269.0|0|1866.0|0|7.731510254816656|0|24135.0|0
0|2021-02-01|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-02|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-03|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-04|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-05|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-06|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-07|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-08|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-09|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-10|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-11|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-12|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-13|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-14|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-15|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-16|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-17|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-18|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-19|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-20|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-21|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-22|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-23|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-24|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-25|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-26|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-27|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-02-28|22383.0|0|1941.0|0|7.979773063640849|0|24324.0|0
0|2021-03-01|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-02|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-03|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-04|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-05|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-06|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-07|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-08|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-09|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-10|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-11|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-12|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-13|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-14|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-15|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-16|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-17|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-18|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-19|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-20|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-21|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-22|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-23|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-24|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-25|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-26|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-27|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-28|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-29|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-30|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-03-31|22350.0|0|1887.0|0|7.785617031810868|0|24237.0|0
0|2021-04-01|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-02|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-03|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-04|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-05|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-06|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-07|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-08|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-09|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-10|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-11|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-12|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-13|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-14|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-15|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-16|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-17|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-18|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-19|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-20|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-21|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-22|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-23|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-24|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-25|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-26|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-27|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-28|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-29|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-04-30|22421.0|0|1628.0|0|6.769512245831428|0|24049.0|0
0|2021-05-01|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-02|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-03|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-04|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-05|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-06|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-07|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-08|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-09|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-10|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-11|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-12|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-13|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-14|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-15|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-16|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-17|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-18|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-19|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-20|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-21|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-22|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-23|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-24|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-25|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-26|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-27|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-28|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-29|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-30|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-05-31|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-01|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-02|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-03|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-04|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-05|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-06|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-07|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-08|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-09|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-10|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-11|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-12|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-13|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-14|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-15|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-16|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-17|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-18|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-19|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-20|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-21|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-22|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-23|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-24|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-25|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-26|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-27|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-28|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-29|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-06-30|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-01|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-02|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-03|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-04|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-05|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-06|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-07|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-08|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-09|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-10|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-11|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-12|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-13|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-14|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-15|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-16|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-17|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-18|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-19|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-20|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-21|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-22|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-23|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-24|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-25|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-26|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-27|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-28|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-29|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-30|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-07-31|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-01|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-02|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-03|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-04|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-05|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-06|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-07|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-08|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-09|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-10|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-11|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-12|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-13|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-14|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-15|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-16|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-17|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-18|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-19|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-20|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-21|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-22|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-23|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-24|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-25|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-26|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-27|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-28|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-29|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-30|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-08-31|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-01|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-02|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-03|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-04|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-05|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-06|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-07|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-08|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-09|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-10|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-11|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-12|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-13|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-14|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-15|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-16|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-17|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-18|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-19|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-20|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-21|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-22|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-23|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-24|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-25|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-26|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-27|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-28|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-29|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-09-30|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-01|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-02|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-03|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-04|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-05|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-06|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-07|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-08|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-09|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-10|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-11|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-12|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-13|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-14|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
0|2021-10-15|22466.0|0|1553.0|0|6.465714642574628|0|24019.0|0
