|dates|Monona_Iowa_UnitedStates.BLS_EmployedPopulation.data|Monona_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Monona_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Monona_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Monona_Iowa_UnitedStates.BLS_UnemploymentRate.data|Monona_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Monona_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Monona_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-08|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-09|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-10|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-11|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-12|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-13|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-14|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-15|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-16|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-17|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-18|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-19|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-20|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-21|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-22|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-23|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-24|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-25|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-26|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-27|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-28|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-29|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-30|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2020-12-31|4161.0|0|168.0|0|3.8808038808038807|0|4329.0|0
0|2021-01-01|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-02|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-03|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-04|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-05|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-06|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-07|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-08|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-09|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-10|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-11|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-12|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-13|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-14|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-15|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-16|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-17|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-18|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-19|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-20|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-21|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-22|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-23|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-24|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-25|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-26|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-27|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-28|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-29|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-30|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-01-31|4147.0|0|233.0|0|5.319634703196347|0|4380.0|0
0|2021-02-01|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-02|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-03|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-04|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-05|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-06|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-07|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-08|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-09|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-10|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-11|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-12|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-13|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-14|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-15|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-16|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-17|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-18|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-19|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-20|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-21|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-22|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-23|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-24|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-25|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-26|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-27|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-02-28|4166.0|0|245.0|0|5.554296077986851|0|4411.0|0
0|2021-03-01|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-02|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-03|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-04|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-05|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-06|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-07|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-08|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-09|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-10|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-11|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-12|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-13|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-14|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-15|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-16|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-17|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-18|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-19|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-20|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-21|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-22|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-23|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-24|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-25|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-26|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-27|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-28|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-29|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-30|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-03-31|4133.0|0|222.0|0|5.0975889781859935|0|4355.0|0
0|2021-04-01|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-02|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-03|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-04|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-05|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-06|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-07|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-08|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-09|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-10|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-11|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-12|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-13|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-14|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-15|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-16|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-17|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-18|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-19|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-20|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-21|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-22|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-23|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-24|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-25|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-26|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-27|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-28|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-29|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-04-30|4126.0|0|195.0|0|4.512844249016432|0|4321.0|0
0|2021-05-01|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-02|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-03|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-04|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-05|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-06|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-07|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-08|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-09|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-10|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-11|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-12|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-13|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-14|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-15|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-16|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-17|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-18|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-19|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-20|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-21|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-22|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-23|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-24|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-25|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-26|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-27|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-28|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-29|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-30|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-05-31|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-01|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-02|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-03|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-04|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-05|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-06|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-07|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-08|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-09|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-10|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-11|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-12|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-13|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-14|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-15|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-16|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-17|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-18|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-19|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-20|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-21|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-22|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-23|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-24|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-25|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-26|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-27|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-28|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-29|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-06-30|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-01|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-02|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-03|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-04|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-05|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-06|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-07|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-08|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-09|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-10|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-11|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-12|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-13|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-14|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-15|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-16|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-17|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-18|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-19|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-20|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-21|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-22|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-23|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-24|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-25|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-26|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-27|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-28|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-29|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-30|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-07-31|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-01|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-02|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-03|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-04|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-05|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-06|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-07|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-08|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-09|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-10|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-11|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-12|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-13|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-14|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-15|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-16|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-17|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-18|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-19|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-20|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-21|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-22|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-23|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-24|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-25|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-26|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-27|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-28|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-29|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-30|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-08-31|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-01|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-02|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-03|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-04|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-05|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-06|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-07|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-08|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-09|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-10|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-11|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-12|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-13|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-14|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-15|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-16|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-17|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-18|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-19|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-20|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-21|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-22|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-23|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-24|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-25|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-26|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-27|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-28|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-29|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-09-30|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-01|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-02|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-03|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-04|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-05|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-06|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-07|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-08|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-09|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-10|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-11|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-12|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-13|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-14|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
0|2021-10-15|4150.0|0|178.0|0|4.11275415896488|0|4328.0|0
