|dates|Caldwell_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Caldwell_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Caldwell_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Caldwell_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Caldwell_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Caldwell_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Caldwell_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Caldwell_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-11-30|34019.0|0|2419.0|0|6.638673911850266|0|36438.0|0
0|2020-12-01|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-02|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-03|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-04|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-05|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-06|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-07|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-08|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-09|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-10|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-11|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-12|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-13|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-14|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-15|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-16|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-17|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-18|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-19|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-20|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-21|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-22|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-23|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-24|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-25|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-26|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-27|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-28|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-29|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-30|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2020-12-31|33988.0|0|2372.0|0|6.523652365236524|0|36360.0|0
0|2021-01-01|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-02|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-03|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-04|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-05|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-06|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-07|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-08|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-09|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-10|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-11|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-12|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-13|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-14|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-15|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-16|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-17|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-18|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-19|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-20|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-21|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-22|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-23|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-24|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-25|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-26|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-27|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-28|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-29|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-30|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-01-31|33984.0|0|2263.0|0|6.243275305542528|0|36247.0|0
0|2021-02-01|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-02|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-03|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-04|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-05|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-06|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-07|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-08|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-09|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-10|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-11|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-12|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-13|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-14|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-15|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-16|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-17|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-18|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-19|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-20|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-21|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-22|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-23|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-24|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-25|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-26|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-27|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-02-28|34268.0|0|2115.0|0|5.81315449523129|0|36383.0|0
0|2021-03-01|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-02|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-03|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-04|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-05|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-06|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-07|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-08|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-09|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-10|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-11|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-12|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-13|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-14|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-15|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-16|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-17|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-18|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-19|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-20|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-21|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-22|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-23|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-24|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-25|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-26|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-27|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-28|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-29|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-30|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-03-31|34350.0|0|1711.0|0|4.744738082693214|0|36061.0|0
0|2021-04-01|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-02|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-03|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-04|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-05|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-06|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-07|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-08|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-09|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-10|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-11|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-12|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-13|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-14|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-15|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-16|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-17|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-18|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-19|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-20|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-21|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-22|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-23|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-24|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-25|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-26|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-27|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-28|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-29|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-04-30|34434.0|0|1612.0|0|4.472063474449315|0|36046.0|0
0|2021-05-01|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-02|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-03|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-04|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-05|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-06|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-07|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-08|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-09|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-10|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-11|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-12|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-13|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-14|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-15|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-16|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-17|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-18|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-19|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-20|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-21|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-22|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-23|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-24|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-25|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-26|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-27|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-28|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-29|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-30|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-05-31|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-01|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-02|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-03|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-04|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-05|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-06|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-07|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-08|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-09|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-10|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-11|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-12|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-13|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-14|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-15|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-16|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-17|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-18|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-19|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-20|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-21|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-22|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-23|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-24|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-25|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-26|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-27|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-28|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-29|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-06-30|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-01|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-02|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-03|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-04|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-05|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-06|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-07|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-08|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-09|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-10|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-11|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-12|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-13|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-14|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-15|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-16|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-17|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-18|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-19|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-20|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-21|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-22|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-23|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-24|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-25|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-26|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-27|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-28|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-29|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-30|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-07-31|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-01|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-02|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-03|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-04|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-05|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-06|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-07|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-08|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-09|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-10|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-11|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-12|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-13|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-14|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-15|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-16|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-17|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-18|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-19|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-20|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-21|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-22|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-23|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-24|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-25|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-26|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-27|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-28|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-29|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-30|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-08-31|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-01|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-02|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-03|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-04|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-05|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-06|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-07|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-08|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-09|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-10|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-11|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-12|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-13|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-14|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-15|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-16|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-17|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-18|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-19|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-20|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-21|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-22|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-23|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-24|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-25|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-26|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-27|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-28|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-29|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-09-30|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-01|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-02|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-03|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-04|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-05|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-06|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-07|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-08|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-09|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-10|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-11|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-12|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-13|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-14|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
0|2021-10-15|34378.0|0|1658.0|0|4.6009546009546005|0|36036.0|0
