|dates|Dickinson_Michigan_UnitedStates.BLS_EmployedPopulation.data|Dickinson_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Dickinson_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Dickinson_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Dickinson_Michigan_UnitedStates.BLS_UnemploymentRate.data|Dickinson_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Dickinson_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Dickinson_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-06|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-07|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-08|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-09|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-10|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-11|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-12|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-13|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-14|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-15|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-16|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-17|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-18|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-19|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-20|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-21|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-22|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-23|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-24|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-25|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-26|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-27|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-28|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-29|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-30|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2020-12-31|11523.0|0|754.0|0|6.141565529038038|0|12277.0|0
0|2021-01-01|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-02|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-03|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-04|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-05|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-06|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-07|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-08|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-09|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-10|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-11|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-12|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-13|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-14|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-15|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-16|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-17|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-18|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-19|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-20|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-21|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-22|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-23|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-24|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-25|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-26|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-27|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-28|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-29|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-30|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-01-31|11510.0|0|731.0|0|5.971734335430112|0|12241.0|0
0|2021-02-01|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-02|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-03|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-04|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-05|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-06|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-07|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-08|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-09|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-10|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-11|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-12|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-13|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-14|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-15|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-16|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-17|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-18|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-19|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-20|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-21|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-22|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-23|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-24|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-25|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-26|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-27|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-02-28|11367.0|0|614.0|0|5.124780903096569|0|11981.0|0
0|2021-03-01|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-02|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-03|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-04|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-05|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-06|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-07|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-08|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-09|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-10|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-11|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-12|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-13|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-14|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-15|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-16|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-17|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-18|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-19|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-20|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-21|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-22|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-23|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-24|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-25|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-26|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-27|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-28|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-29|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-30|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-03-31|11343.0|0|629.0|0|5.253925826929502|0|11972.0|0
0|2021-04-01|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-02|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-03|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-04|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-05|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-06|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-07|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-08|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-09|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-10|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-11|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-12|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-13|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-14|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-15|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-16|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-17|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-18|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-19|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-20|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-21|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-22|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-23|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-24|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-25|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-26|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-27|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-28|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-29|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-04-30|11331.0|0|554.0|0|4.661337820782499|0|11885.0|0
0|2021-05-01|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-02|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-03|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-04|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-05|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-06|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-07|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-08|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-09|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-10|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-11|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-12|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-13|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-14|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-15|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-16|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-17|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-18|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-19|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-20|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-21|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-22|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-23|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-24|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-25|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-26|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-27|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-28|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-29|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-30|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-05-31|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-01|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-02|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-03|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-04|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-05|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-06|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-07|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-08|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-09|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-10|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-11|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-12|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-13|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-14|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-15|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-16|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-17|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-18|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-19|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-20|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-21|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-22|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-23|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-24|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-25|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-26|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-27|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-28|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-29|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-06-30|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-01|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-02|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-03|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-04|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-05|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-06|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-07|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-08|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-09|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-10|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-11|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-12|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-13|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-14|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-15|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-16|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-17|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-18|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-19|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-20|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-21|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-22|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-23|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-24|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-25|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-26|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-27|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-28|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-29|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-30|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-07-31|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-01|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-02|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-03|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-04|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-05|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-06|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-07|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-08|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-09|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-10|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-11|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-12|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-13|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-14|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-15|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-16|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-17|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-18|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-19|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-20|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-21|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-22|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-23|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-24|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-25|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-26|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-27|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-28|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-29|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-30|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-08-31|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-01|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-02|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-03|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-04|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-05|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-06|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-07|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-08|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-09|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-10|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-11|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-12|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-13|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-14|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-15|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-16|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-17|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-18|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-19|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-20|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-21|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-22|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-23|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-24|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-25|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-26|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-27|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-28|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-29|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-09-30|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-01|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-02|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-03|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-04|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-05|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-06|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-07|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-08|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-09|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-10|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-11|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-12|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-13|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-14|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
0|2021-10-15|11566.0|0|610.0|0|5.009855453350855|0|12176.0|0
