|dates|Hudspeth_Texas_UnitedStates.BLS_EmployedPopulation.data|Hudspeth_Texas_UnitedStates.BLS_EmployedPopulation.missing|Hudspeth_Texas_UnitedStates.BLS_UnemployedPopulation.data|Hudspeth_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Hudspeth_Texas_UnitedStates.BLS_UnemploymentRate.data|Hudspeth_Texas_UnitedStates.BLS_UnemploymentRate.missing|Hudspeth_Texas_UnitedStates.BLS_LaborForcePopulation.data|Hudspeth_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-10|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-11|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-12|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-13|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-14|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-15|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-16|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-17|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-18|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-19|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-20|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-21|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-22|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-23|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-24|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-25|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-26|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-27|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-28|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-29|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-30|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2020-12-31|1724.0|0|159.0|0|8.443972384492831|0|1883.0|0
0|2021-01-01|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-02|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-03|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-04|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-05|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-06|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-07|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-08|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-09|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-10|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-11|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-12|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-13|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-14|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-15|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-16|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-17|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-18|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-19|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-20|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-21|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-22|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-23|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-24|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-25|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-26|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-27|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-28|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-29|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-30|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-01-31|1723.0|0|152.0|0|8.106666666666667|0|1875.0|0
0|2021-02-01|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-02|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-03|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-04|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-05|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-06|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-07|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-08|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-09|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-10|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-11|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-12|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-13|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-14|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-15|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-16|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-17|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-18|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-19|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-20|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-21|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-22|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-23|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-24|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-25|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-26|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-27|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-02-28|1745.0|0|141.0|0|7.4761399787910925|0|1886.0|0
0|2021-03-01|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-02|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-03|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-04|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-05|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-06|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-07|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-08|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-09|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-10|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-11|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-12|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-13|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-14|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-15|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-16|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-17|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-18|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-19|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-20|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-21|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-22|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-23|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-24|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-25|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-26|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-27|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-28|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-29|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-30|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-03-31|1791.0|0|139.0|0|7.2020725388601035|0|1930.0|0
0|2021-04-01|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-02|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-03|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-04|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-05|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-06|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-07|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-08|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-09|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-10|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-11|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-12|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-13|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-14|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-15|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-16|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-17|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-18|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-19|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-20|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-21|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-22|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-23|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-24|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-25|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-26|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-27|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-28|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-29|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-04-30|1776.0|0|119.0|0|6.279683377308707|0|1895.0|0
0|2021-05-01|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-02|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-03|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-04|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-05|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-06|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-07|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-08|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-09|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-10|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-11|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-12|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-13|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-14|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-15|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-16|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-17|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-18|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-19|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-20|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-21|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-22|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-23|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-24|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-25|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-26|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-27|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-28|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-29|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-30|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-05-31|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-01|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-02|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-03|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-04|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-05|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-06|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-07|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-08|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-09|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-10|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-11|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-12|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-13|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-14|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-15|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-16|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-17|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-18|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-19|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-20|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-21|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-22|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-23|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-24|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-25|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-26|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-27|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-28|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-29|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-06-30|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-01|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-02|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-03|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-04|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-05|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-06|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-07|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-08|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-09|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-10|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-11|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-12|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-13|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-14|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-15|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-16|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-17|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-18|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-19|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-20|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-21|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-22|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-23|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-24|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-25|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-26|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-27|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-28|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-29|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-30|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-07-31|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-01|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-02|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-03|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-04|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-05|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-06|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-07|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-08|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-09|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-10|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-11|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-12|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-13|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-14|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-15|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-16|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-17|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-18|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-19|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-20|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-21|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-22|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-23|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-24|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-25|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-26|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-27|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-28|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-29|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-30|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-08-31|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-01|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-02|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-03|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-04|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-05|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-06|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-07|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-08|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-09|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-10|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-11|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-12|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-13|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-14|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-15|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-16|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-17|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-18|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-19|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-20|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-21|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-22|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-23|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-24|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-25|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-26|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-27|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-28|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-29|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-09-30|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-01|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-02|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-03|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-04|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-05|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-06|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-07|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-08|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-09|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-10|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-11|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-12|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-13|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-14|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
0|2021-10-15|1746.0|0|107.0|0|5.7744198596869944|0|1853.0|0
