|dates|Emery_Utah_UnitedStates.JHU_ConfirmedCases.data|Emery_Utah_UnitedStates.JHU_ConfirmedCases.missing|Emery_Utah_UnitedStates.NYT_ConfirmedCases.data|Emery_Utah_UnitedStates.NYT_ConfirmedCases.missing|Emery_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Emery_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Emery_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Emery_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-23|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-24|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-25|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-04-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-04-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-04-03|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-04-04|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-04-05|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-04-06|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-07|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-08|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-09|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-10|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-11|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-12|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-13|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-04-14|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-04-15|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-04-16|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-04-17|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-18|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-19|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-20|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-21|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-22|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-23|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-24|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-25|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-26|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-27|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-28|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-29|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-04-30|3.0|0|4.0|0|0.0|0|0.0|100
0|2020-05-01|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-02|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-03|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-04|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-05|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-06|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-07|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-08|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-09|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-10|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-11|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-12|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-13|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-14|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-15|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-16|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-17|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-18|3.0|0|5.0|0|0.0|0|0.0|100
0|2020-05-19|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-20|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-21|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-22|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-23|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-24|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-25|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-26|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-27|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-28|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-29|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-30|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-05-31|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-01|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-02|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-03|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-04|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-05|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-06|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-07|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-08|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-09|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-10|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-11|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-12|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-13|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-14|3.0|0|7.0|0|0.0|0|0.0|100
0|2020-06-15|3.0|0|8.0|0|0.0|0|0.0|100
0|2020-06-16|3.0|0|8.0|0|0.0|0|0.0|100
0|2020-06-17|3.0|0|8.0|0|0.0|0|0.0|100
0|2020-06-18|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-19|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-20|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-21|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-22|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-23|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-24|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-25|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-26|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-27|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-28|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-29|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-06-30|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-01|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-02|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-03|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-04|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-05|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-06|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-07|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-08|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-09|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-10|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-11|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-12|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-13|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-14|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-15|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-16|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-17|3.0|0|9.0|0|0.0|0|0.0|100
0|2020-07-18|3.0|0|10.0|0|0.0|0|0.0|100
0|2020-07-19|3.0|0|10.0|0|0.0|0|0.0|100
0|2020-07-20|3.0|0|10.0|0|0.0|0|0.0|100
0|2020-07-21|3.0|0|10.0|0|0.0|0|0.0|100
0|2020-07-22|3.0|0|11.0|0|0.0|0|0.0|100
0|2020-07-23|3.0|0|11.0|0|0.0|0|0.0|100
0|2020-07-24|3.0|0|11.0|0|0.0|0|0.0|100
0|2020-07-25|3.0|0|12.0|0|0.0|0|0.0|100
0|2020-07-26|3.0|0|13.0|0|0.0|0|0.0|100
0|2020-07-27|3.0|0|13.0|0|0.0|0|0.0|100
0|2020-07-28|3.0|0|15.0|0|0.0|0|0.0|100
0|2020-07-29|3.0|0|15.0|0|0.0|0|0.0|100
0|2020-07-30|3.0|0|15.0|0|0.0|0|0.0|100
0|2020-07-31|3.0|0|15.0|0|0.0|0|0.0|100
0|2020-08-01|3.0|0|15.0|0|0.0|0|0.0|100
0|2020-08-02|3.0|0|15.0|0|0.0|0|0.0|100
0|2020-08-03|3.0|0|15.0|0|0.0|0|0.0|100
0|2020-08-04|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-05|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-06|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-07|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-08|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-09|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-10|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-11|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-12|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-13|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-14|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-15|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-16|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-17|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-18|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-19|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-20|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-21|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-22|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-23|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-24|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-25|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-26|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-27|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-28|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-29|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-30|3.0|0|16.0|0|0.0|0|0.0|100
0|2020-08-31|3.0|0|18.0|0|0.0|0|0.0|100
0|2020-09-01|3.0|0|18.0|0|0.0|0|0.0|100
0|2020-09-02|3.0|0|21.0|0|0.0|0|0.0|100
0|2020-09-03|3.0|0|21.0|0|0.0|0|0.0|100
0|2020-09-04|3.0|0|21.0|0|0.0|0|0.0|100
0|2020-09-05|3.0|0|23.0|0|0.0|0|0.0|100
0|2020-09-06|3.0|0|23.0|0|0.0|0|0.0|100
0|2020-09-07|3.0|0|23.0|0|0.0|0|0.0|100
0|2020-09-08|3.0|0|24.0|0|0.0|0|0.0|100
0|2020-09-09|3.0|0|24.0|0|0.0|0|0.0|100
0|2020-09-10|3.0|0|24.0|0|0.0|0|0.0|100
0|2020-09-11|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-12|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-13|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-14|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-15|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-16|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-17|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-18|3.0|0|25.0|0|0.0|0|0.0|100
0|2020-09-19|3.0|0|26.0|0|0.0|0|0.0|100
0|2020-09-20|3.0|0|26.0|0|0.0|0|0.0|100
0|2020-09-21|3.0|0|27.0|0|0.0|0|0.0|100
0|2020-09-22|3.0|0|33.0|0|0.0|0|0.0|100
0|2020-09-23|3.0|0|33.0|0|0.0|0|0.0|100
0|2020-09-24|3.0|0|33.0|0|0.0|0|0.0|100
0|2020-09-25|3.0|0|36.0|0|0.0|0|0.0|100
0|2020-09-26|3.0|0|40.0|0|0.0|0|0.0|100
0|2020-09-27|3.0|0|40.0|0|0.0|0|0.0|100
0|2020-09-28|3.0|0|43.0|0|0.0|0|0.0|100
0|2020-09-29|3.0|0|43.0|0|0.0|0|0.0|100
0|2020-09-30|3.0|0|44.0|0|0.0|0|0.0|100
0|2020-10-01|3.0|0|46.0|0|0.0|0|0.0|100
0|2020-10-02|3.0|0|48.0|0|0.0|0|0.0|100
0|2020-10-03|3.0|0|50.0|0|0.0|0|0.0|100
0|2020-10-04|3.0|0|52.0|0|0.0|0|0.0|100
0|2020-10-05|3.0|0|52.0|0|0.0|0|0.0|100
0|2020-10-06|3.0|0|52.0|0|0.0|0|0.0|100
0|2020-10-07|3.0|0|54.0|0|0.0|0|0.0|100
0|2020-10-08|3.0|0|54.0|0|0.0|0|0.0|100
0|2020-10-09|3.0|0|55.0|0|0.0|0|0.0|100
0|2020-10-10|3.0|0|56.0|0|0.0|0|0.0|100
0|2020-10-11|3.0|0|56.0|0|0.0|0|0.0|100
0|2020-10-12|3.0|0|68.0|0|0.0|0|0.0|100
0|2020-10-13|3.0|0|69.0|0|0.0|0|0.0|100
0|2020-10-14|3.0|0|70.0|0|0.0|0|0.0|100
0|2020-10-15|3.0|0|75.0|0|0.0|0|0.0|100
0|2020-10-16|3.0|0|80.0|0|0.0|0|0.0|100
0|2020-10-17|3.0|0|80.0|0|0.0|0|0.0|100
0|2020-10-18|3.0|0|80.0|0|0.0|0|0.0|100
0|2020-10-19|3.0|0|82.0|0|0.0|0|0.0|100
0|2020-10-20|3.0|0|83.0|0|0.0|0|0.0|100
0|2020-10-21|3.0|0|92.0|0|0.0|0|0.0|100
0|2020-10-22|3.0|0|95.0|0|0.0|0|0.0|100
0|2020-10-23|3.0|0|97.0|0|0.0|0|0.0|100
0|2020-10-24|3.0|0|97.0|0|0.0|0|0.0|100
0|2020-10-25|3.0|0|97.0|0|0.0|0|0.0|100
0|2020-10-26|3.0|0|106.0|0|0.0|0|0.0|100
0|2020-10-27|3.0|0|109.0|0|0.0|0|0.0|100
0|2020-10-28|3.0|0|119.0|0|0.0|0|0.0|100
0|2020-10-29|3.0|0|128.0|0|0.0|0|0.0|100
0|2020-10-30|3.0|0|132.0|0|0.0|0|0.0|100
0|2020-10-31|3.0|0|132.0|0|0.0|0|0.0|100
0|2020-11-01|3.0|0|132.0|0|0.0|0|0.0|100
0|2020-11-02|3.0|0|147.0|0|0.0|0|0.0|100
0|2020-11-03|3.0|0|151.0|0|0.0|0|0.0|100
0|2020-11-04|3.0|0|156.0|0|0.0|0|0.0|100
0|2020-11-05|3.0|0|160.0|0|0.0|0|0.0|100
0|2020-11-06|3.0|0|166.0|0|0.0|0|0.0|100
0|2020-11-07|3.0|0|167.0|0|0.0|0|0.0|100
0|2020-11-08|3.0|0|170.0|0|0.0|0|0.0|100
0|2020-11-09|3.0|0|181.0|0|0.0|0|0.0|100
0|2020-11-10|3.0|0|191.0|0|0.0|0|0.0|100
0|2020-11-11|3.0|0|195.0|0|0.0|0|0.0|100
0|2020-11-12|3.0|0|196.0|0|0.0|0|0.0|100
0|2020-11-13|3.0|0|202.0|0|0.0|0|0.0|100
0|2020-11-14|3.0|0|209.0|0|0.0|0|0.0|100
0|2020-11-15|3.0|0|210.0|0|0.0|0|0.0|100
0|2020-11-16|3.0|0|210.0|0|0.0|0|0.0|100
0|2020-11-17|3.0|0|222.0|0|0.0|0|0.0|100
0|2020-11-18|3.0|0|226.0|0|0.0|0|0.0|100
0|2020-11-19|3.0|0|237.0|0|0.0|0|0.0|100
0|2020-11-20|3.0|0|250.0|0|0.0|0|0.0|100
0|2020-11-21|3.0|0|253.0|0|0.0|0|0.0|100
0|2020-11-22|3.0|0|260.0|0|0.0|0|0.0|100
0|2020-11-23|3.0|0|266.0|0|0.0|0|0.0|100
0|2020-11-24|3.0|0|270.0|0|0.0|0|0.0|100
0|2020-11-25|3.0|0|281.0|0|0.0|0|0.0|100
0|2020-11-26|3.0|0|283.0|0|0.0|0|0.0|100
0|2020-11-27|3.0|0|295.0|0|0.0|0|0.0|100
0|2020-11-28|3.0|0|298.0|0|0.0|0|0.0|100
0|2020-11-29|3.0|0|304.0|0|0.0|0|0.0|100
0|2020-11-30|3.0|0|317.0|0|0.0|0|0.0|100
0|2020-12-01|3.0|0|338.0|0|0.0|0|0.0|100
0|2020-12-02|3.0|0|348.0|0|0.0|0|0.0|100
0|2020-12-03|3.0|0|360.0|0|0.0|0|0.0|100
0|2020-12-04|3.0|0|363.0|0|0.0|0|0.0|100
0|2020-12-05|3.0|0|368.0|0|0.0|0|0.0|100
0|2020-12-06|3.0|0|375.0|0|0.0|0|0.0|100
0|2020-12-07|3.0|0|382.0|0|0.0|0|0.0|100
0|2020-12-08|3.0|0|401.0|0|0.0|0|0.0|100
0|2020-12-09|3.0|0|407.0|0|0.0|0|0.0|100
0|2020-12-10|3.0|0|418.0|0|0.0|0|0.0|100
0|2020-12-11|3.0|0|420.0|0|0.0|0|0.0|100
0|2020-12-12|3.0|0|428.0|0|0.0|0|0.0|100
0|2020-12-13|3.0|0|429.0|0|0.0|0|0.0|100
0|2020-12-14|3.0|0|453.0|0|0.0|0|0.0|100
0|2020-12-15|3.0|0|466.0|0|0.0|0|0.0|100
0|2020-12-16|3.0|0|474.0|0|0.0|0|0.0|100
0|2020-12-17|3.0|0|489.0|0|0.0|0|0.0|100
0|2020-12-18|3.0|0|495.0|0|0.0|0|0.0|100
0|2020-12-19|3.0|0|495.0|0|0.0|0|0.0|100
0|2020-12-20|3.0|0|495.0|0|0.0|0|0.0|100
0|2020-12-21|3.0|0|513.0|0|0.0|0|0.0|100
0|2020-12-22|3.0|0|517.0|0|0.0|0|0.0|100
0|2020-12-23|3.0|0|523.0|0|0.0|0|0.0|100
0|2020-12-24|3.0|0|527.0|0|0.0|0|0.0|100
0|2020-12-25|3.0|0|527.0|0|0.0|0|0.0|100
0|2020-12-26|3.0|0|529.0|0|0.0|0|0.0|100
0|2020-12-27|3.0|0|529.0|0|0.0|0|0.0|100
0|2020-12-28|3.0|0|536.0|0|0.0|0|0.0|100
0|2020-12-29|3.0|0|539.0|0|0.0|0|0.0|100
0|2020-12-30|3.0|0|555.0|0|0.0|0|0.0|100
0|2020-12-31|3.0|0|569.0|0|0.0|0|0.0|100
0|2021-01-01|3.0|0|569.0|0|0.0|0|0.0|100
0|2021-01-02|3.0|0|573.0|0|0.0|0|0.0|100
0|2021-01-03|3.0|0|577.0|0|0.0|0|0.0|100
0|2021-01-04|3.0|0|591.0|0|0.0|0|0.0|100
0|2021-01-05|3.0|0|597.0|0|0.0|0|0.0|100
0|2021-01-06|3.0|0|602.0|0|0.0|0|0.0|100
0|2021-01-07|3.0|0|608.0|0|0.0|0|0.0|100
0|2021-01-08|3.0|0|619.0|0|0.0|0|0.0|100
0|2021-01-09|3.0|0|619.0|0|0.0|0|0.0|100
0|2021-01-10|3.0|0|620.0|0|0.0|0|0.0|100
0|2021-01-11|3.0|0|626.0|0|0.0|0|0.0|100
0|2021-01-12|3.0|0|628.0|0|0.0|0|0.0|100
0|2021-01-13|3.0|0|628.0|0|0.0|0|0.0|100
0|2021-01-14|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-15|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-16|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-17|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-18|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-19|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-20|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-21|3.0|0|630.0|0|0.0|0|0.0|100
0|2021-01-22|3.0|0|649.0|0|0.0|0|0.0|100
0|2021-01-23|3.0|0|654.0|0|0.0|0|0.0|100
0|2021-01-24|3.0|0|655.0|0|0.0|0|0.0|100
0|2021-01-25|3.0|0|659.0|0|0.0|0|0.0|100
0|2021-01-26|3.0|0|661.0|0|0.0|0|0.0|100
0|2021-01-27|3.0|0|664.0|0|0.0|0|0.0|100
0|2021-01-28|3.0|0|665.0|0|0.0|0|0.0|100
0|2021-01-29|3.0|0|673.0|0|0.0|0|0.0|100
0|2021-01-30|3.0|0|679.0|0|0.0|0|0.0|100
0|2021-01-31|3.0|0|679.0|0|0.0|0|0.0|100
0|2021-02-01|3.0|0|688.0|0|0.0|0|0.0|100
0|2021-02-02|3.0|0|710.0|0|0.0|0|0.0|100
0|2021-02-03|3.0|0|716.0|0|0.0|0|0.0|100
0|2021-02-04|3.0|0|722.0|0|0.0|0|0.0|100
0|2021-02-05|3.0|0|731.0|0|0.0|0|0.0|100
0|2021-02-06|3.0|0|731.0|0|0.0|0|0.0|100
0|2021-02-07|3.0|0|731.0|0|0.0|0|0.0|100
0|2021-02-08|3.0|0|737.0|0|0.0|0|0.0|100
0|2021-02-09|3.0|0|747.0|0|0.0|0|0.0|100
0|2021-02-10|3.0|0|753.0|0|0.0|0|0.0|100
0|2021-02-11|3.0|0|755.0|0|0.0|0|0.0|100
