|dates|Livingston_Illinois_UnitedStates.BLS_EmployedPopulation.data|Livingston_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Livingston_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Livingston_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Livingston_Illinois_UnitedStates.BLS_UnemploymentRate.data|Livingston_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Livingston_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Livingston_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-04|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-05|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-06|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-07|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-08|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-09|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-10|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-11|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-12|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-13|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-14|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-15|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-16|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-17|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-18|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-19|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-20|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-21|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-22|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-23|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-24|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-25|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-26|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-27|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-28|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-29|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-30|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2020-12-31|14517.0|0|828.0|0|5.395894428152492|0|15345.0|0
0|2021-01-01|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-02|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-03|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-04|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-05|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-06|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-07|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-08|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-09|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-10|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-11|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-12|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-13|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-14|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-15|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-16|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-17|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-18|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-19|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-20|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-21|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-22|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-23|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-24|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-25|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-26|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-27|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-28|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-29|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-30|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-01-31|14168.0|0|1024.0|0|6.740389678778304|0|15192.0|0
0|2021-02-01|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-02|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-03|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-04|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-05|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-06|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-07|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-08|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-09|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-10|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-11|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-12|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-13|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-14|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-15|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-16|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-17|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-18|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-19|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-20|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-21|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-22|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-23|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-24|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-25|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-26|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-27|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-02-28|14130.0|0|903.0|0|6.006785072839753|0|15033.0|0
0|2021-03-01|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-02|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-03|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-04|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-05|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-06|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-07|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-08|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-09|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-10|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-11|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-12|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-13|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-14|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-15|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-16|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-17|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-18|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-19|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-20|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-21|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-22|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-23|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-24|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-25|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-26|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-27|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-28|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-29|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-30|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-03-31|14125.0|0|878.0|0|5.852162900753183|0|15003.0|0
0|2021-04-01|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-02|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-03|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-04|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-05|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-06|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-07|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-08|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-09|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-10|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-11|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-12|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-13|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-14|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-15|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-16|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-17|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-18|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-19|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-20|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-21|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-22|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-23|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-24|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-25|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-26|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-27|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-28|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-29|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-04-30|14552.0|0|764.0|0|4.988247584225646|0|15316.0|0
0|2021-05-01|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-02|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-03|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-04|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-05|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-06|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-07|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-08|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-09|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-10|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-11|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-12|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-13|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-14|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-15|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-16|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-17|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-18|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-19|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-20|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-21|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-22|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-23|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-24|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-25|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-26|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-27|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-28|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-29|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-30|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-05-31|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-01|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-02|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-03|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-04|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-05|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-06|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-07|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-08|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-09|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-10|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-11|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-12|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-13|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-14|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-15|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-16|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-17|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-18|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-19|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-20|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-21|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-22|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-23|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-24|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-25|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-26|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-27|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-28|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-29|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-06-30|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-01|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-02|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-03|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-04|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-05|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-06|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-07|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-08|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-09|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-10|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-11|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-12|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-13|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-14|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-15|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-16|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-17|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-18|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-19|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-20|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-21|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-22|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-23|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-24|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-25|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-26|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-27|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-28|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-29|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-30|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-07-31|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-01|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-02|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-03|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-04|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-05|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-06|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-07|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-08|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-09|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-10|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-11|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-12|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-13|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-14|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-15|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-16|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-17|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-18|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-19|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-20|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-21|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-22|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-23|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-24|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-25|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-26|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-27|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-28|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-29|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-30|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-08-31|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-01|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-02|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-03|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-04|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-05|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-06|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-07|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-08|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-09|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-10|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-11|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-12|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-13|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-14|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-15|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-16|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-17|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-18|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-19|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-20|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-21|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-22|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-23|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-24|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-25|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-26|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-27|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-28|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-29|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-09-30|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-01|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-02|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-03|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-04|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-05|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-06|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-07|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-08|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-09|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-10|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-11|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-12|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-13|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-14|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
0|2021-10-15|14826.0|0|645.0|0|4.169090556525111|0|15471.0|0
