|dates|Lehigh_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Lehigh_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Lehigh_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.data|Lehigh_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.missing|Lehigh_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Lehigh_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Lehigh_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Lehigh_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2020-02-19|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-20|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-21|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-22|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-23|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-24|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-25|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-26|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-27|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-28|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-02-29|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-01|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-02|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-03|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-04|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-05|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-06|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-07|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-08|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-09|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-10|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-11|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-12|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-13|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-14|0.0|100|0.0|100|0.0|100|0.0|100
0|2020-03-15|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-16|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-17|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-18|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-19|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-20|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-21|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-22|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-23|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-24|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-25|0.0|100|0.0|0|0.0|100|0.0|100
0|2020-03-26|0.0|100|1.0|0|0.0|100|0.0|100
0|2020-03-27|0.0|100|2.0|0|0.0|100|0.0|100
0|2020-03-28|0.0|100|3.0|0|0.0|100|0.0|100
0|2020-03-29|0.0|100|3.0|0|0.0|100|0.0|100
0|2020-03-30|0.0|100|3.0|0|0.0|100|0.0|100
0|2020-03-31|0.0|100|4.0|0|0.0|100|0.0|100
0|2020-04-01|0.0|100|5.0|0|0.0|100|0.0|100
0|2020-04-02|0.0|100|5.0|0|0.0|100|0.0|100
0|2020-04-03|0.0|100|5.0|0|0.0|100|0.0|100
0|2020-04-04|0.0|100|7.0|0|0.0|100|0.0|100
0|2020-04-05|0.0|100|8.0|0|0.0|100|0.0|100
0|2020-04-06|0.0|100|8.0|0|0.0|100|0.0|100
0|2020-04-07|0.0|100|10.0|0|0.0|100|0.0|100
0|2020-04-08|0.0|100|11.0|0|0.0|100|0.0|100
0|2020-04-09|0.0|100|13.0|0|0.0|100|0.0|100
0|2020-04-10|0.0|100|16.0|0|0.0|100|0.0|100
0|2020-04-11|0.0|100|16.0|0|0.0|100|0.0|100
0|2020-04-12|0.0|100|18.0|0|0.0|100|0.0|100
0|2020-04-13|0.0|100|19.0|0|0.0|100|0.0|100
0|2020-04-14|0.0|100|23.0|0|0.0|100|0.0|100
0|2020-04-15|0.0|100|25.0|0|0.0|100|0.0|100
0|2020-04-16|0.0|100|28.0|0|0.0|100|0.0|100
0|2020-04-17|0.0|100|29.0|0|0.0|100|0.0|100
0|2020-04-18|0.0|100|29.0|0|0.0|100|0.0|100
0|2020-04-19|0.0|100|32.0|0|0.0|100|0.0|100
0|2020-04-20|0.0|100|33.0|0|0.0|100|0.0|100
0|2020-04-21|0.0|100|49.0|0|0.0|100|0.0|100
0|2020-04-22|0.0|100|49.0|0|0.0|100|0.0|100
0|2020-04-23|0.0|100|49.0|0|0.0|100|0.0|100
0|2020-04-24|0.0|100|49.0|0|0.0|100|0.0|100
0|2020-04-25|0.0|100|50.0|0|0.0|100|0.0|100
0|2020-04-26|0.0|100|51.0|0|0.0|100|0.0|100
0|2020-04-27|0.0|100|56.0|0|0.0|100|0.0|100
0|2020-04-28|0.0|100|64.0|0|0.0|100|0.0|100
0|2020-04-29|0.0|100|72.0|0|0.0|100|0.0|100
0|2020-04-30|0.0|100|74.0|0|0.0|100|0.0|100
0|2020-05-01|0.0|100|80.0|0|0.0|100|0.0|100
0|2020-05-02|0.0|100|83.0|0|0.0|100|0.0|100
0|2020-05-03|0.0|100|83.0|0|0.0|100|0.0|100
0|2020-05-04|0.0|100|83.0|0|0.0|100|0.0|100
0|2020-05-05|0.0|100|94.0|0|0.0|100|0.0|100
0|2020-05-06|0.0|100|102.0|0|0.0|100|0.0|100
0|2020-05-07|0.0|100|111.0|0|0.0|100|0.0|100
0|2020-05-08|0.0|100|114.0|0|0.0|100|0.0|100
0|2020-05-09|0.0|100|120.0|0|0.0|100|0.0|100
0|2020-05-10|0.0|100|121.0|0|0.0|100|0.0|100
0|2020-05-11|0.0|100|121.0|0|0.0|100|0.0|100
0|2020-05-12|0.0|100|123.0|0|0.0|100|0.0|100
0|2020-05-13|0.0|100|129.0|0|0.0|100|0.0|100
0|2020-05-14|0.0|100|133.0|0|0.0|100|0.0|100
0|2020-05-15|0.0|100|136.0|0|0.0|100|0.0|100
0|2020-05-16|0.0|100|139.0|0|0.0|100|0.0|100
0|2020-05-17|0.0|100|139.0|0|0.0|100|0.0|100
0|2020-05-18|0.0|100|173.0|0|0.0|100|0.0|100
0|2020-05-19|0.0|100|182.0|0|0.0|100|0.0|100
0|2020-05-20|0.0|100|188.0|0|0.0|100|0.0|100
0|2020-05-21|0.0|100|192.0|0|0.0|100|0.0|100
0|2020-05-22|0.0|100|197.0|0|0.0|100|0.0|100
0|2020-05-23|0.0|100|202.0|0|0.0|100|0.0|100
0|2020-05-24|0.0|100|206.0|0|0.0|100|0.0|100
0|2020-05-25|0.0|100|209.0|0|0.0|100|0.0|100
0|2020-05-26|0.0|100|210.0|0|0.0|100|0.0|100
0|2020-05-27|0.0|100|215.0|0|0.0|100|0.0|100
0|2020-05-28|0.0|100|218.0|0|0.0|100|0.0|100
0|2020-05-29|0.0|100|222.0|0|0.0|100|0.0|100
0|2020-05-30|0.0|100|228.0|0|0.0|100|0.0|100
0|2020-05-31|0.0|100|228.0|0|0.0|100|0.0|100
0|2020-06-01|0.0|100|228.0|0|0.0|100|0.0|100
0|2020-06-02|0.0|100|235.0|0|0.0|100|0.0|100
0|2020-06-03|0.0|100|239.0|0|0.0|100|0.0|100
0|2020-06-04|0.0|100|242.0|0|0.0|100|0.0|100
0|2020-06-05|0.0|100|245.0|0|0.0|100|0.0|100
0|2020-06-06|0.0|100|248.0|0|0.0|100|0.0|100
0|2020-06-07|0.0|100|248.0|0|0.0|100|0.0|100
0|2020-06-08|0.0|100|249.0|0|0.0|100|0.0|100
0|2020-06-09|0.0|100|253.0|0|0.0|100|0.0|100
0|2020-06-10|0.0|100|259.0|0|0.0|100|0.0|100
0|2020-06-11|0.0|100|263.0|0|0.0|100|0.0|100
0|2020-06-12|0.0|100|264.0|0|0.0|100|0.0|100
0|2020-06-13|0.0|100|267.0|0|0.0|100|0.0|100
0|2020-06-14|0.0|100|267.0|0|0.0|100|0.0|100
0|2020-06-15|0.0|100|269.0|0|0.0|100|0.0|100
0|2020-06-16|0.0|100|271.0|0|0.0|100|0.0|100
0|2020-06-17|0.0|100|273.0|0|0.0|100|0.0|100
0|2020-06-18|0.0|100|276.0|0|0.0|100|0.0|100
0|2020-06-19|0.0|100|277.0|0|0.0|100|0.0|100
0|2020-06-20|0.0|100|278.0|0|0.0|100|0.0|100
0|2020-06-21|0.0|100|278.0|0|0.0|100|0.0|100
0|2020-06-22|0.0|100|279.0|0|0.0|100|0.0|100
0|2020-06-23|0.0|100|281.0|0|0.0|100|0.0|100
0|2020-06-24|0.0|100|284.0|0|0.0|100|0.0|100
0|2020-06-25|0.0|100|285.0|0|0.0|100|0.0|100
0|2020-06-26|0.0|100|288.0|0|0.0|100|0.0|100
0|2020-06-27|0.0|100|292.0|0|0.0|100|0.0|100
0|2020-06-28|0.0|100|292.0|0|0.0|100|0.0|100
0|2020-06-29|0.0|100|294.0|0|0.0|100|0.0|100
0|2020-06-30|0.0|100|297.0|0|0.0|100|0.0|100
0|2020-07-01|0.0|100|297.0|0|0.0|100|0.0|100
0|2020-07-02|0.0|100|305.0|0|0.0|100|0.0|100
0|2020-07-03|0.0|100|307.0|0|0.0|100|0.0|100
0|2020-07-04|0.0|100|307.0|0|0.0|100|0.0|100
0|2020-07-05|0.0|100|307.0|0|0.0|100|0.0|100
0|2020-07-06|0.0|100|307.0|0|0.0|100|0.0|100
0|2020-07-07|0.0|100|309.0|0|0.0|100|0.0|100
0|2020-07-08|0.0|100|312.0|0|0.0|100|0.0|100
0|2020-07-09|0.0|100|315.0|0|0.0|100|0.0|100
0|2020-07-10|0.0|100|319.0|0|0.0|100|0.0|100
0|2020-07-11|0.0|100|324.0|0|0.0|100|0.0|100
0|2020-07-12|0.0|100|326.0|0|0.0|100|0.0|100
0|2020-07-13|0.0|100|327.0|0|0.0|100|0.0|100
0|2020-07-14|0.0|100|329.0|0|0.0|100|0.0|100
0|2020-07-15|0.0|100|330.0|0|0.0|100|0.0|100
0|2020-07-16|0.0|100|330.0|0|0.0|100|0.0|100
0|2020-07-17|0.0|100|331.0|0|0.0|100|0.0|100
0|2020-07-18|0.0|100|332.0|0|0.0|100|0.0|100
0|2020-07-19|0.0|100|332.0|0|0.0|100|0.0|100
0|2020-07-20|0.0|100|332.0|0|0.0|100|0.0|100
0|2020-07-21|0.0|100|333.0|0|0.0|100|0.0|100
0|2020-07-22|0.0|100|334.0|0|0.0|100|0.0|100
0|2020-07-23|0.0|100|334.0|0|0.0|100|0.0|100
0|2020-07-24|0.0|100|334.0|0|0.0|100|0.0|100
0|2020-07-25|0.0|100|334.0|0|0.0|100|0.0|100
0|2020-07-26|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-07-27|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-07-28|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-07-29|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-07-30|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-07-31|0.0|100|334.0|0|0.0|100|0.0|100
0|2020-08-01|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-08-02|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-08-03|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-08-04|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-08-05|0.0|100|335.0|0|0.0|100|0.0|100
0|2020-08-06|0.0|100|336.0|0|0.0|100|0.0|100
0|2020-08-07|0.0|100|336.0|0|0.0|100|0.0|100
0|2020-08-08|0.0|100|337.0|0|0.0|100|0.0|100
0|2020-08-09|0.0|100|337.0|0|0.0|100|0.0|100
0|2020-08-10|0.0|100|337.0|0|0.0|100|0.0|100
0|2020-08-11|0.0|100|338.0|0|0.0|100|0.0|100
0|2020-08-12|0.0|100|338.0|0|0.0|100|0.0|100
0|2020-08-13|0.0|100|340.0|0|0.0|100|0.0|100
0|2020-08-14|0.0|100|340.0|0|0.0|100|0.0|100
0|2020-08-15|0.0|100|341.0|0|0.0|100|0.0|100
0|2020-08-16|0.0|100|341.0|0|0.0|100|0.0|100
0|2020-08-17|0.0|100|341.0|0|0.0|100|0.0|100
0|2020-08-18|0.0|100|341.0|0|0.0|100|0.0|100
0|2020-08-19|0.0|100|341.0|0|0.0|100|0.0|100
0|2020-08-20|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-21|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-22|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-23|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-24|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-25|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-26|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-27|0.0|100|342.0|0|0.0|100|0.0|100
0|2020-08-28|0.0|100|343.0|0|0.0|100|0.0|100
0|2020-08-29|0.0|100|343.0|0|0.0|100|0.0|100
0|2020-08-30|0.0|100|343.0|0|0.0|100|0.0|100
0|2020-08-31|0.0|100|343.0|0|0.0|100|0.0|100
0|2020-09-01|0.0|100|343.0|0|0.0|100|0.0|100
0|2020-09-02|0.0|100|344.0|0|0.0|100|0.0|100
0|2020-09-03|0.0|100|344.0|0|0.0|100|0.0|100
0|2020-09-04|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-05|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-06|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-07|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-08|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-09|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-10|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-11|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-12|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-13|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-14|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-15|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-16|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-17|0.0|100|345.0|0|0.0|100|0.0|100
0|2020-09-18|0.0|100|346.0|0|0.0|100|0.0|100
0|2020-09-19|0.0|100|346.0|0|0.0|100|0.0|100
0|2020-09-20|0.0|100|349.0|0|0.0|100|0.0|100
0|2020-09-21|0.0|100|350.0|0|0.0|100|0.0|100
0|2020-09-22|0.0|100|350.0|0|0.0|100|0.0|100
0|2020-09-23|0.0|100|352.0|0|0.0|100|0.0|100
0|2020-09-24|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-09-25|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-09-26|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-09-27|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-09-28|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-09-29|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-09-30|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-10-01|0.0|100|353.0|0|0.0|100|0.0|100
0|2020-10-02|0.0|100|354.0|0|0.0|100|0.0|100
0|2020-10-03|0.0|100|354.0|0|0.0|100|0.0|100
0|2020-10-04|0.0|100|354.0|0|0.0|100|0.0|100
0|2020-10-05|0.0|100|355.0|0|0.0|100|0.0|100
0|2020-10-06|0.0|100|356.0|0|0.0|100|0.0|100
0|2020-10-07|0.0|100|357.0|0|0.0|100|0.0|100
0|2020-10-08|0.0|100|357.0|0|0.0|100|0.0|100
0|2020-10-09|0.0|100|357.0|0|0.0|100|0.0|100
0|2020-10-10|0.0|100|358.0|0|0.0|100|0.0|100
0|2020-10-11|0.0|100|359.0|0|0.0|100|0.0|100
0|2020-10-12|0.0|100|359.0|0|0.0|100|0.0|100
0|2020-10-13|0.0|100|359.0|0|0.0|100|0.0|100
0|2020-10-14|0.0|100|361.0|0|0.0|100|0.0|100
0|2020-10-15|0.0|100|361.0|0|0.0|100|0.0|100
0|2020-10-16|0.0|100|361.0|0|0.0|100|0.0|100
0|2020-10-17|0.0|100|361.0|0|0.0|100|0.0|100
0|2020-10-18|0.0|100|362.0|0|0.0|100|0.0|100
0|2020-10-19|0.0|100|362.0|0|0.0|100|0.0|100
0|2020-10-20|0.0|100|363.0|0|0.0|100|0.0|100
0|2020-10-21|0.0|100|363.0|0|0.0|100|0.0|100
0|2020-10-22|0.0|100|363.0|0|0.0|100|0.0|100
0|2020-10-23|0.0|100|364.0|0|0.0|100|0.0|100
0|2020-10-24|0.0|100|365.0|0|0.0|100|0.0|100
0|2020-10-25|0.0|100|365.0|0|0.0|100|0.0|100
0|2020-10-26|0.0|100|365.0|0|0.0|100|0.0|100
0|2020-10-27|0.0|100|365.0|0|0.0|100|0.0|100
0|2020-10-28|0.0|100|365.0|0|0.0|100|0.0|100
0|2020-10-29|0.0|100|365.0|0|0.0|100|0.0|100
0|2020-10-30|0.0|100|366.0|0|0.0|100|0.0|100
0|2020-10-31|0.0|100|366.0|0|0.0|100|0.0|100
0|2020-11-01|0.0|100|366.0|0|0.0|100|0.0|100
0|2020-11-02|0.0|100|366.0|0|0.0|100|0.0|100
0|2020-11-03|0.0|100|366.0|0|0.0|100|0.0|100
0|2020-11-04|0.0|100|369.0|0|0.0|100|0.0|100
0|2020-11-05|0.0|100|370.0|0|0.0|100|0.0|100
0|2020-11-06|0.0|100|371.0|0|0.0|100|0.0|100
0|2020-11-07|0.0|100|372.0|0|0.0|100|0.0|100
0|2020-11-08|0.0|100|372.0|0|0.0|100|0.0|100
0|2020-11-09|0.0|100|372.0|0|0.0|100|0.0|100
0|2020-11-10|0.0|100|372.0|0|0.0|100|0.0|100
0|2020-11-11|0.0|100|372.0|0|0.0|100|0.0|100
0|2020-11-12|0.0|100|372.0|0|0.0|100|0.0|100
0|2020-11-13|0.0|100|372.0|0|0.0|100|0.0|100
0|2020-11-14|0.0|100|374.0|0|0.0|100|0.0|100
0|2020-11-15|0.0|100|374.0|0|0.0|100|0.0|100
0|2020-11-16|0.0|100|374.0|0|0.0|100|0.0|100
0|2020-11-17|0.0|100|374.0|0|0.0|100|0.0|100
0|2020-11-18|0.0|100|374.0|0|0.0|100|0.0|100
0|2020-11-19|0.0|100|376.0|0|0.0|100|0.0|100
0|2020-11-20|0.0|100|376.0|0|0.0|100|0.0|100
0|2020-11-21|0.0|100|379.0|0|0.0|100|0.0|100
0|2020-11-22|0.0|100|379.0|0|0.0|100|0.0|100
0|2020-11-23|0.0|100|379.0|0|0.0|100|0.0|100
0|2020-11-24|0.0|100|380.0|0|0.0|100|0.0|100
0|2020-11-25|0.0|100|381.0|0|0.0|100|0.0|100
0|2020-11-26|0.0|100|382.0|0|0.0|100|0.0|100
0|2020-11-27|0.0|100|382.0|0|0.0|100|0.0|100
0|2020-11-28|0.0|100|382.0|0|0.0|100|0.0|100
0|2020-11-29|0.0|100|382.0|0|0.0|100|0.0|100
0|2020-11-30|0.0|100|382.0|0|0.0|100|0.0|100
0|2020-12-01|0.0|100|385.0|0|0.0|100|0.0|100
0|2020-12-02|0.0|100|387.0|0|0.0|100|0.0|100
0|2020-12-03|0.0|100|392.0|0|0.0|100|0.0|100
0|2020-12-04|0.0|100|395.0|0|0.0|100|0.0|100
0|2020-12-05|0.0|100|399.0|0|0.0|100|0.0|100
0|2020-12-06|0.0|100|400.0|0|0.0|100|0.0|100
0|2020-12-07|0.0|100|401.0|0|0.0|100|0.0|100
0|2020-12-08|0.0|100|409.0|0|0.0|100|0.0|100
0|2020-12-09|0.0|100|409.0|0|0.0|100|0.0|100
0|2020-12-10|0.0|100|416.0|0|0.0|100|0.0|100
0|2020-12-11|0.0|100|422.0|0|0.0|100|0.0|100
0|2020-12-12|0.0|100|423.0|0|0.0|100|0.0|100
0|2020-12-13|0.0|100|424.0|0|0.0|100|0.0|100
0|2020-12-14|0.0|100|424.0|0|0.0|100|0.0|100
0|2020-12-15|0.0|100|429.0|0|0.0|100|0.0|100
0|2020-12-16|0.0|100|434.0|0|0.0|100|0.0|100
0|2020-12-17|0.0|100|435.0|0|0.0|100|0.0|100
0|2020-12-18|0.0|100|440.0|0|0.0|100|0.0|100
0|2020-12-19|0.0|100|443.0|0|0.0|100|0.0|100
0|2020-12-20|0.0|100|444.0|0|0.0|100|0.0|100
0|2020-12-21|0.0|100|444.0|0|0.0|100|0.0|100
0|2020-12-22|0.0|100|454.0|0|0.0|100|0.0|100
0|2020-12-23|0.0|100|460.0|0|0.0|100|0.0|100
0|2020-12-24|0.0|100|468.0|0|0.0|100|0.0|100
0|2020-12-25|0.0|100|473.0|0|0.0|100|0.0|100
0|2020-12-26|0.0|100|473.0|0|0.0|100|0.0|100
0|2020-12-27|0.0|100|479.0|0|0.0|100|0.0|100
0|2020-12-28|0.0|100|481.0|0|0.0|100|0.0|100
0|2020-12-29|0.0|100|489.0|0|0.0|100|0.0|100
0|2020-12-30|0.0|100|498.0|0|0.0|100|0.0|100
0|2020-12-31|0.0|100|503.0|0|0.0|100|0.0|100
0|2021-01-01|0.0|100|511.0|0|0.0|100|0.0|100
0|2021-01-02|0.0|100|511.0|0|0.0|100|0.0|100
0|2021-01-03|0.0|100|513.0|0|0.0|100|0.0|100
0|2021-01-04|0.0|100|513.0|0|0.0|100|0.0|100
0|2021-01-05|0.0|100|518.0|0|0.0|100|0.0|100
0|2021-01-06|0.0|100|528.0|0|0.0|100|0.0|100
0|2021-01-07|0.0|100|536.0|0|0.0|100|0.0|100
0|2021-01-08|0.0|100|545.0|0|0.0|100|0.0|100
0|2021-01-09|0.0|100|553.0|0|0.0|100|0.0|100
0|2021-01-10|0.0|100|556.0|0|0.0|100|0.0|100
0|2021-01-11|0.0|100|556.0|0|0.0|100|0.0|100
0|2021-01-12|0.0|100|564.0|0|0.0|100|0.0|100
0|2021-01-13|0.0|100|580.0|0|0.0|100|0.0|100
0|2021-01-14|0.0|100|587.0|0|0.0|100|0.0|100
0|2021-01-15|0.0|100|596.0|0|0.0|100|0.0|100
0|2021-01-16|0.0|100|603.0|0|0.0|100|0.0|100
0|2021-01-17|0.0|100|606.0|0|0.0|100|0.0|100
0|2021-01-18|0.0|100|610.0|0|0.0|100|0.0|100
0|2021-01-19|0.0|100|612.0|0|0.0|100|0.0|100
0|2021-01-20|0.0|100|631.0|0|0.0|100|0.0|100
0|2021-01-21|0.0|100|637.0|0|0.0|100|0.0|100
0|2021-01-22|0.0|100|644.0|0|0.0|100|0.0|100
0|2021-01-23|0.0|100|651.0|0|0.0|100|0.0|100
0|2021-01-24|0.0|100|652.0|0|0.0|100|0.0|100
0|2021-01-25|0.0|100|652.0|0|0.0|100|0.0|100
0|2021-01-26|0.0|100|661.0|0|0.0|100|0.0|100
0|2021-01-27|0.0|100|675.0|0|0.0|100|0.0|100
0|2021-01-28|0.0|100|682.0|0|0.0|100|0.0|100
0|2021-01-29|0.0|100|684.0|0|0.0|100|0.0|100
0|2021-01-30|0.0|100|687.0|0|0.0|100|0.0|100
0|2021-01-31|0.0|100|688.0|0|0.0|100|0.0|100
0|2021-02-01|0.0|100|689.0|0|0.0|100|0.0|100
0|2021-02-02|0.0|100|690.0|0|0.0|100|0.0|100
0|2021-02-03|0.0|100|692.0|0|0.0|100|0.0|100
