|dates|Carroll_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Carroll_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Carroll_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Carroll_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Carroll_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Carroll_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Carroll_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Carroll_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-12|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-13|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-14|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-15|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-16|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-17|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-18|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-19|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-20|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-21|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-22|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-23|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-24|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-25|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-26|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-27|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-28|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-29|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-30|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2020-12-31|4874.0|0|241.0|0|4.711632453567938|0|5115.0|0
0|2021-01-01|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-02|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-03|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-04|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-05|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-06|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-07|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-08|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-09|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-10|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-11|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-12|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-13|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-14|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-15|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-16|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-17|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-18|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-19|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-20|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-21|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-22|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-23|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-24|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-25|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-26|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-27|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-28|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-29|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-30|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-01-31|4815.0|0|239.0|0|4.728927582113178|0|5054.0|0
0|2021-02-01|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-02|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-03|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-04|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-05|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-06|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-07|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-08|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-09|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-10|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-11|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-12|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-13|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-14|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-15|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-16|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-17|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-18|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-19|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-20|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-21|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-22|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-23|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-24|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-25|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-26|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-27|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-02-28|4800.0|0|242.0|0|4.799682665608885|0|5042.0|0
0|2021-03-01|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-02|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-03|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-04|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-05|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-06|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-07|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-08|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-09|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-10|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-11|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-12|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-13|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-14|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-15|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-16|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-17|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-18|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-19|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-20|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-21|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-22|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-23|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-24|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-25|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-26|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-27|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-28|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-29|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-30|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-03-31|4820.0|0|240.0|0|4.743083003952569|0|5060.0|0
0|2021-04-01|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-02|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-03|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-04|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-05|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-06|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-07|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-08|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-09|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-10|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-11|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-12|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-13|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-14|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-15|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-16|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-17|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-18|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-19|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-20|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-21|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-22|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-23|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-24|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-25|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-26|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-27|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-28|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-29|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-04-30|4847.0|0|176.0|0|3.5038821421461277|0|5023.0|0
0|2021-05-01|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-02|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-03|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-04|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-05|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-06|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-07|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-08|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-09|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-10|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-11|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-12|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-13|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-14|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-15|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-16|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-17|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-18|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-19|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-20|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-21|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-22|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-23|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-24|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-25|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-26|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-27|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-28|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-29|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-30|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-05-31|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-01|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-02|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-03|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-04|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-05|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-06|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-07|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-08|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-09|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-10|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-11|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-12|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-13|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-14|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-15|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-16|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-17|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-18|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-19|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-20|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-21|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-22|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-23|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-24|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-25|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-26|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-27|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-28|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-29|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-06-30|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-01|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-02|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-03|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-04|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-05|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-06|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-07|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-08|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-09|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-10|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-11|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-12|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-13|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-14|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-15|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-16|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-17|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-18|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-19|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-20|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-21|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-22|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-23|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-24|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-25|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-26|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-27|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-28|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-29|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-30|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-07-31|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-01|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-02|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-03|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-04|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-05|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-06|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-07|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-08|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-09|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-10|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-11|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-12|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-13|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-14|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-15|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-16|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-17|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-18|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-19|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-20|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-21|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-22|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-23|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-24|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-25|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-26|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-27|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-28|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-29|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-30|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-08-31|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-01|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-02|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-03|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-04|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-05|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-06|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-07|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-08|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-09|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-10|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-11|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-12|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-13|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-14|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-15|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-16|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-17|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-18|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-19|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-20|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-21|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-22|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-23|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-24|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-25|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-26|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-27|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-28|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-29|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-09-30|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-01|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-02|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-03|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-04|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-05|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-06|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-07|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-08|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-09|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-10|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-11|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-12|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-13|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-14|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
0|2021-10-15|4839.0|0|181.0|0|3.605577689243028|0|5020.0|0
