|dates|Harmon_Oklahoma_UnitedStates.BLS_EmployedPopulation.data|Harmon_Oklahoma_UnitedStates.BLS_EmployedPopulation.missing|Harmon_Oklahoma_UnitedStates.BLS_UnemployedPopulation.data|Harmon_Oklahoma_UnitedStates.BLS_UnemployedPopulation.missing|Harmon_Oklahoma_UnitedStates.BLS_UnemploymentRate.data|Harmon_Oklahoma_UnitedStates.BLS_UnemploymentRate.missing|Harmon_Oklahoma_UnitedStates.BLS_LaborForcePopulation.data|Harmon_Oklahoma_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-04|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-05|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-06|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-07|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-08|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-09|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-10|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-11|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-12|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-13|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-14|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-15|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-16|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-17|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-18|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-19|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-20|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-21|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-22|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-23|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-24|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-25|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-26|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-27|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-28|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-29|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-30|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2020-12-31|1164.0|0|37.0|0|3.0807660283097418|0|1201.0|0
0|2021-01-01|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-02|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-03|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-04|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-05|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-06|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-07|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-08|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-09|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-10|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-11|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-12|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-13|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-14|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-15|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-16|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-17|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-18|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-19|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-20|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-21|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-22|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-23|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-24|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-25|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-26|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-27|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-28|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-29|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-30|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-01-31|1177.0|0|38.0|0|3.1275720164609053|0|1215.0|0
0|2021-02-01|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-02|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-03|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-04|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-05|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-06|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-07|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-08|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-09|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-10|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-11|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-12|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-13|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-14|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-15|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-16|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-17|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-18|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-19|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-20|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-21|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-22|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-23|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-24|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-25|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-26|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-27|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-02-28|1197.0|0|45.0|0|3.6231884057971016|0|1242.0|0
0|2021-03-01|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-02|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-03|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-04|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-05|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-06|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-07|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-08|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-09|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-10|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-11|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-12|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-13|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-14|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-15|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-16|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-17|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-18|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-19|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-20|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-21|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-22|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-23|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-24|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-25|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-26|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-27|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-28|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-29|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-30|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-03-31|1156.0|0|37.0|0|3.1014249790444257|0|1193.0|0
0|2021-04-01|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-02|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-03|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-04|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-05|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-06|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-07|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-08|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-09|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-10|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-11|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-12|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-13|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-14|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-15|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-16|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-17|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-18|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-19|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-20|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-21|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-22|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-23|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-24|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-25|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-26|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-27|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-28|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-29|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-04-30|1196.0|0|26.0|0|2.127659574468085|0|1222.0|0
0|2021-05-01|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-02|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-03|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-04|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-05|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-06|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-07|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-08|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-09|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-10|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-11|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-12|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-13|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-14|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-15|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-16|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-17|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-18|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-19|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-20|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-21|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-22|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-23|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-24|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-25|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-26|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-27|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-28|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-29|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-30|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-05-31|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-01|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-02|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-03|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-04|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-05|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-06|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-07|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-08|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-09|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-10|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-11|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-12|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-13|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-14|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-15|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-16|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-17|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-18|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-19|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-20|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-21|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-22|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-23|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-24|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-25|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-26|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-27|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-28|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-29|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-06-30|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-01|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-02|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-03|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-04|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-05|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-06|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-07|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-08|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-09|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-10|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-11|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-12|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-13|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-14|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-15|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-16|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-17|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-18|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-19|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-20|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-21|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-22|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-23|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-24|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-25|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-26|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-27|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-28|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-29|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-30|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-07-31|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-01|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-02|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-03|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-04|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-05|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-06|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-07|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-08|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-09|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-10|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-11|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-12|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-13|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-14|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-15|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-16|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-17|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-18|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-19|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-20|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-21|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-22|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-23|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-24|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-25|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-26|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-27|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-28|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-29|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-30|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-08-31|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-01|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-02|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-03|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-04|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-05|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-06|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-07|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-08|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-09|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-10|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-11|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-12|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-13|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-14|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-15|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-16|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-17|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-18|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-19|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-20|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-21|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-22|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-23|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-24|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-25|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-26|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-27|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-28|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-29|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-09-30|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-01|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-02|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-03|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-04|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-05|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-06|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-07|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-08|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-09|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-10|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-11|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-12|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-13|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-14|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
0|2021-10-15|1207.0|0|27.0|0|2.1880064829821717|0|1234.0|0
