|dates|Newton_Georgia_UnitedStates.BLS_EmployedPopulation.data|Newton_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Newton_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Newton_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Newton_Georgia_UnitedStates.BLS_UnemploymentRate.data|Newton_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Newton_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Newton_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-02|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-03|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-04|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-05|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-06|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-07|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-08|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-09|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-10|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-11|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-12|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-13|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-14|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-15|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-16|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-17|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-18|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-19|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-20|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-21|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-22|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-23|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-24|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-25|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-26|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-27|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-28|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-29|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-30|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2020-12-31|49338.0|0|3354.0|0|6.3652926440446365|0|52692.0|0
0|2021-01-01|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-02|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-03|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-04|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-05|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-06|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-07|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-08|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-09|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-10|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-11|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-12|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-13|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-14|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-15|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-16|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-17|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-18|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-19|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-20|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-21|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-22|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-23|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-24|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-25|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-26|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-27|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-28|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-29|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-30|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-01-31|49286.0|0|2918.0|0|5.589609991571527|0|52204.0|0
0|2021-02-01|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-02|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-03|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-04|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-05|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-06|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-07|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-08|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-09|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-10|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-11|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-12|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-13|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-14|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-15|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-16|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-17|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-18|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-19|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-20|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-21|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-22|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-23|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-24|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-25|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-26|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-27|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-02-28|50060.0|0|2618.0|0|4.969816621739626|0|52678.0|0
0|2021-03-01|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-02|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-03|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-04|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-05|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-06|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-07|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-08|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-09|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-10|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-11|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-12|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-13|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-14|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-15|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-16|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-17|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-18|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-19|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-20|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-21|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-22|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-23|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-24|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-25|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-26|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-27|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-28|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-29|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-30|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-03-31|50453.0|0|2385.0|0|4.5137968886029|0|52838.0|0
0|2021-04-01|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-02|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-03|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-04|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-05|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-06|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-07|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-08|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-09|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-10|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-11|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-12|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-13|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-14|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-15|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-16|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-17|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-18|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-19|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-20|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-21|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-22|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-23|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-24|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-25|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-26|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-27|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-28|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-29|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-04-30|50670.0|0|2225.0|0|4.2064467340958505|0|52895.0|0
0|2021-05-01|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-02|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-03|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-04|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-05|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-06|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-07|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-08|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-09|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-10|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-11|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-12|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-13|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-14|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-15|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-16|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-17|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-18|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-19|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-20|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-21|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-22|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-23|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-24|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-25|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-26|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-27|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-28|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-29|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-30|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-05-31|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-01|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-02|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-03|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-04|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-05|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-06|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-07|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-08|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-09|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-10|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-11|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-12|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-13|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-14|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-15|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-16|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-17|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-18|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-19|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-20|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-21|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-22|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-23|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-24|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-25|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-26|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-27|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-28|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-29|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-06-30|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-01|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-02|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-03|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-04|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-05|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-06|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-07|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-08|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-09|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-10|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-11|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-12|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-13|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-14|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-15|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-16|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-17|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-18|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-19|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-20|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-21|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-22|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-23|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-24|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-25|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-26|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-27|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-28|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-29|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-30|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-07-31|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-01|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-02|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-03|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-04|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-05|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-06|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-07|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-08|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-09|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-10|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-11|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-12|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-13|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-14|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-15|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-16|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-17|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-18|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-19|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-20|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-21|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-22|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-23|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-24|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-25|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-26|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-27|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-28|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-29|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-30|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-08-31|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-01|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-02|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-03|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-04|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-05|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-06|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-07|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-08|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-09|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-10|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-11|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-12|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-13|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-14|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-15|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-16|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-17|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-18|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-19|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-20|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-21|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-22|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-23|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-24|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-25|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-26|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-27|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-28|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-29|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-09-30|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-01|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-02|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-03|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-04|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-05|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-06|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-07|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-08|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-09|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-10|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-11|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-12|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-13|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-14|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
0|2021-10-15|50437.0|0|2278.0|0|4.32135065920516|0|52715.0|0
