|dates|Cuming_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Cuming_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Cuming_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Cuming_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Cuming_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Cuming_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Cuming_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Cuming_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-05|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-06|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-07|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-08|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-09|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-10|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-11|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-12|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-13|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-14|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-15|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-16|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-17|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-18|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-19|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-20|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-21|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-22|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-23|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-24|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-25|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-26|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-27|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-28|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-29|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-30|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2020-12-31|4632.0|0|73.0|0|1.5515409139213603|0|4705.0|0
0|2021-01-01|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-02|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-03|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-04|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-05|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-06|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-07|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-08|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-09|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-10|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-11|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-12|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-13|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-14|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-15|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-16|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-17|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-18|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-19|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-20|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-21|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-22|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-23|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-24|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-25|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-26|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-27|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-28|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-29|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-30|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-01-31|4704.0|0|86.0|0|1.7954070981210857|0|4790.0|0
0|2021-02-01|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-02|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-03|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-04|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-05|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-06|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-07|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-08|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-09|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-10|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-11|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-12|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-13|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-14|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-15|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-16|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-17|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-18|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-19|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-20|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-21|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-22|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-23|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-24|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-25|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-26|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-27|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-02-28|4615.0|0|95.0|0|2.0169851380042463|0|4710.0|0
0|2021-03-01|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-02|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-03|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-04|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-05|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-06|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-07|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-08|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-09|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-10|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-11|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-12|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-13|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-14|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-15|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-16|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-17|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-18|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-19|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-20|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-21|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-22|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-23|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-24|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-25|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-26|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-27|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-28|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-29|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-30|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-03-31|4689.0|0|81.0|0|1.6981132075471699|0|4770.0|0
0|2021-04-01|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-02|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-03|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-04|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-05|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-06|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-07|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-08|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-09|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-10|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-11|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-12|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-13|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-14|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-15|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-16|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-17|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-18|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-19|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-20|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-21|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-22|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-23|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-24|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-25|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-26|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-27|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-28|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-29|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-04-30|4730.0|0|73.0|0|1.5198834062044555|0|4803.0|0
0|2021-05-01|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-02|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-03|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-04|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-05|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-06|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-07|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-08|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-09|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-10|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-11|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-12|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-13|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-14|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-15|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-16|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-17|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-18|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-19|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-20|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-21|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-22|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-23|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-24|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-25|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-26|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-27|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-28|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-29|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-30|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-05-31|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-01|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-02|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-03|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-04|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-05|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-06|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-07|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-08|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-09|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-10|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-11|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-12|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-13|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-14|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-15|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-16|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-17|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-18|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-19|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-20|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-21|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-22|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-23|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-24|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-25|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-26|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-27|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-28|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-29|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-06-30|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-01|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-02|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-03|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-04|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-05|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-06|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-07|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-08|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-09|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-10|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-11|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-12|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-13|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-14|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-15|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-16|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-17|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-18|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-19|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-20|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-21|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-22|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-23|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-24|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-25|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-26|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-27|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-28|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-29|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-30|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-07-31|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-01|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-02|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-03|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-04|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-05|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-06|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-07|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-08|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-09|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-10|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-11|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-12|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-13|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-14|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-15|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-16|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-17|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-18|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-19|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-20|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-21|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-22|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-23|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-24|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-25|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-26|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-27|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-28|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-29|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-30|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-08-31|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-01|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-02|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-03|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-04|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-05|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-06|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-07|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-08|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-09|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-10|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-11|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-12|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-13|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-14|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-15|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-16|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-17|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-18|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-19|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-20|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-21|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-22|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-23|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-24|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-25|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-26|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-27|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-28|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-29|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-09-30|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-01|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-02|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-03|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-04|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-05|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-06|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-07|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-08|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-09|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-10|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-11|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-12|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-13|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-14|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
0|2021-10-15|4716.0|0|79.0|0|1.6475495307612096|0|4795.0|0
