|dates|Washington_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Washington_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Washington_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Washington_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Washington_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Washington_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Washington_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-12-01|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-02|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-03|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-04|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-05|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-06|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-07|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-08|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-09|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-10|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-11|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-12|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-13|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-14|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-15|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-16|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-17|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-18|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-19|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-20|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-21|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-22|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-23|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-24|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-25|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-26|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-27|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-28|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-29|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-30|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2020-12-31|14771.0|0|1686.0|0|10.244880597921856|0|16457.0|0
0|2021-01-01|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-02|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-03|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-04|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-05|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-06|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-07|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-08|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-09|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-10|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-11|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-12|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-13|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-14|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-15|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-16|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-17|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-18|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-19|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-20|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-21|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-22|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-23|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-24|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-25|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-26|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-27|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-28|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-29|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-30|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-01-31|14415.0|0|1594.0|0|9.956899244175151|0|16009.0|0
0|2021-02-01|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-02|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-03|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-04|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-05|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-06|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-07|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-08|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-09|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-10|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-11|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-12|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-13|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-14|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-15|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-16|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-17|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-18|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-19|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-20|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-21|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-22|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-23|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-24|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-25|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-26|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-27|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-02-28|14471.0|0|1525.0|0|9.533633408352088|0|15996.0|0
0|2021-03-01|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-02|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-03|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-04|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-05|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-06|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-07|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-08|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-09|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-10|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-11|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-12|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-13|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-14|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-15|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-16|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-17|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-18|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-19|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-20|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-21|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-22|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-23|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-24|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-25|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-26|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-27|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-28|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-29|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-30|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-03-31|14531.0|0|1470.0|0|9.186925817136428|0|16001.0|0
0|2021-04-01|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-02|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-03|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-04|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-05|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-06|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-07|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-08|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-09|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-10|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-11|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-12|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-13|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-14|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-15|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-16|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-17|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-18|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-19|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-20|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-21|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-22|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-23|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-24|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-25|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-26|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-27|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-28|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-29|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-04-30|14807.0|0|1436.0|0|8.840731391984239|0|16243.0|0
0|2021-05-01|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-02|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-03|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-04|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-05|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-06|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-07|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-08|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-09|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-10|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-11|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-12|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-13|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-14|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-15|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-16|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-17|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-18|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-19|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-20|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-21|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-22|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-23|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-24|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-25|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-26|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-27|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-28|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-29|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-30|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-05-31|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-01|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-02|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-03|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-04|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-05|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-06|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-07|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-08|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-09|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-10|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-11|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-12|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-13|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-14|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-15|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-16|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-17|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-18|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-19|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-20|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-21|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-22|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-23|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-24|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-25|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-26|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-27|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-28|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-29|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-06-30|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-01|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-02|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-03|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-04|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-05|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-06|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-07|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-08|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-09|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-10|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-11|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-12|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-13|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-14|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-15|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-16|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-17|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-18|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-19|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-20|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-21|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-22|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-23|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-24|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-25|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-26|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-27|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-28|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-29|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-30|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-07-31|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-01|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-02|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-03|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-04|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-05|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-06|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-07|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-08|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-09|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-10|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-11|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-12|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-13|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-14|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-15|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-16|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-17|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-18|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-19|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-20|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-21|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-22|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-23|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-24|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-25|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-26|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-27|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-28|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-29|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-30|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-08-31|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-01|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-02|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-03|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-04|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-05|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-06|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-07|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-08|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-09|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-10|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-11|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-12|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-13|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-14|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-15|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-16|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-17|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-18|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-19|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-20|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-21|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-22|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-23|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-24|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-25|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-26|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-27|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-28|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-29|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-09-30|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-01|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-02|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-03|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-04|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-05|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-06|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-07|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-08|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-09|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-10|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-11|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-12|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-13|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-14|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
0|2021-10-15|14917.0|0|1496.0|0|9.114726131724852|0|16413.0|0
