|dates|Loudoun_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Loudoun_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Loudoun_Virginia_UnitedStates.Male_Total_Population.data|Loudoun_Virginia_UnitedStates.Male_Total_Population.missing|Loudoun_Virginia_UnitedStates.Female_Total_Population.data|Loudoun_Virginia_UnitedStates.Female_Total_Population.missing|Loudoun_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Loudoun_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-07-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-07-31|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-08-31|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-09-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-10-31|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-29|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-11-30|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-01|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-02|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-03|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-04|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-05|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-06|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-07|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-08|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-09|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-10|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-11|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-12|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-13|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-14|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-15|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-16|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-17|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-18|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-19|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-20|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-21|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-22|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-23|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-24|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-25|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-26|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-27|37802.0|0|201469.0|0|205381.0|0|115028.0|0
0|2020-12-28|37802.0|0|201469.0|0|205381.0|0|115028.0|0
